league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
ESP-La Liga,2324,Osasuna,Javi Martínez,ESP,MF,24-040,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Osasuna,Jesús Areso,ESP,DF,24-213,1999,20,1307,65,69.2,14.5,14,87,10,6,15,1,1.3,17,22,-5,-0.34,-0.19,16.2,19.0,-2.7,-0.19,-0.09
ESP-La Liga,2324,Osasuna,Johan Mojica,COL,"DF,FW",31-163,1992,13,902,69,47.7,10.0,10,83,7,3,25,3,1.23,13,17,-4,-0.4,-0.22,11.1,12.1,-1.1,-0.11,0.11
ESP-La Liga,2324,Osasuna,Jon Moncayola,ESP,MF,25-263,1998,18,837,47,44.3,9.3,9,75,2,9,18,1,1.22,12,16,-4,-0.43,-0.26,10.3,14.7,-4.4,-0.48,-0.56
ESP-La Liga,2324,Osasuna,Jorge Herrando,ESP,DF,22-337,2001,3,216,72,11.4,2.4,2,90,2,1,36,18,0.33,3,5,-2,-0.83,-0.62,2.2,3.5,-1.3,-0.53,-0.42
ESP-La Liga,2324,Osasuna,José Arnaiz,ESP,"FW,MF",28-291,1995,15,480,32,25.4,5.3,4,64,0,11,21,5,1.4,7,6,1,0.19,0.63,6.7,7.3,-0.6,-0.12,0.05
ESP-La Liga,2324,Osasuna,Juan Cruz Armada,ESP,DF,31-187,1992,15,1186,79,62.8,13.2,13,89,12,2,16,4,1.47,16,20,-4,-0.3,-0.05,15.3,17.6,-2.3,-0.18,-0.04
ESP-La Liga,2324,Osasuna,Kike Barja,ESP,"FW,MF",26-305,1997,11,251,23,13.3,2.8,2,56,0,9,15,4,0.73,7,7,0,0.0,0.33,5.0,5.0,0.0,0.0,0.18
ESP-La Liga,2324,Osasuna,Lucas Torró,ESP,MF,29-196,1994,15,1027,68,54.3,11.4,13,76,5,2,17,6,1.07,10,17,-7,-0.61,-0.72,12.6,15.6,-3.0,-0.27,-0.23
ESP-La Liga,2324,Osasuna,Moi Gómez,ESP,"MF,FW",29-222,1994,16,1215,76,64.3,13.5,15,79,7,1,23,2,1.25,17,17,0,0.0,0.8,14.5,14.8,-0.3,-0.02,0.38
ESP-La Liga,2324,Osasuna,Nacho Vidal,ESP,"DF,FW",29-007,1995,7,96,14,5.1,1.1,0,,0,7,14,13,2.0,2,2,0,0.0,0.3,2.3,2.3,0.1,0.06,0.23
ESP-La Liga,2324,Osasuna,Pablo Ibáñez,ESP,MF,25-133,1998,17,554,33,29.3,6.2,6,72,1,11,11,4,1.24,8,12,-4,-0.65,-0.52,8.6,7.9,0.6,0.1,0.37
ESP-La Liga,2324,Osasuna,Pablo Valencia,ESP,GK,23-030,2001,0,,,,,0,,0,0,,10,,,,,,,,,,,
ESP-La Liga,2324,Osasuna,Raúl,ESP,FW,23-089,2000,19,573,30,30.3,6.4,5,71,0,14,16,1,1.16,9,10,-1,-0.16,0.18,8.8,10.2,-1.5,-0.23,-0.1
ESP-La Liga,2324,Osasuna,Rubén García,ESP,"FW,MF",30-201,1993,14,639,46,33.8,7.1,8,71,1,6,12,6,0.86,7,14,-7,-0.99,-1.06,6.9,11.2,-4.4,-0.62,-0.68
ESP-La Liga,2324,Osasuna,Rubén Peña,ESP,"DF,FW",32-197,1991,17,1299,76,68.7,14.4,16,80,4,1,14,2,1.41,17,21,-4,-0.28,0.03,15.0,17.6,-2.6,-0.18,-0.05
ESP-La Liga,2324,Osasuna,Sergio Herrera,ESP,GK,30-240,1993,18,1609,89,85.1,17.9,18,89,17,0,,3,1.44,24,26,-2,-0.11,1.17,20.2,22.4,-2.2,-0.12,0.25
ESP-La Liga,2324,Osasuna,Unai García,ESP,DF,31-362,1992,1,90,90,4.8,1.0,1,90,1,0,,14,1.0,1,1,0,0.0,0.3,1.6,0.9,0.8,0.77,0.98
ESP-La Liga,2324,Rayo Vallecano,Abdul Mumin,GHA,DF,25-239,1998,10,794,79,42.0,8.8,9,88,7,1,3,9,0.8,4,10,-6,-0.68,-0.52,7.4,13.3,-5.9,-0.67,-0.92
ESP-La Liga,2324,Rayo Vallecano,Alfonso Espino,URU,DF,32-026,1992,19,1612,85,85.3,17.9,19,85,13,0,,1,1.21,15,22,-7,-0.39,-0.07,20.2,26.1,-5.9,-0.33,-1.36
ESP-La Liga,2324,Rayo Vallecano,Andrei Ratiu,ROU,DF,25-225,1998,4,259,65,13.7,2.9,3,82,1,1,13,13,0.5,1,4,-3,-1.04,-0.77,1.8,6.3,-4.4,-1.53,-1.63
ESP-La Liga,2324,Rayo Vallecano,Aridane Hernández,ESP,DF,34-314,1989,12,1060,88,56.1,11.8,12,88,11,0,,7,1.58,13,15,-2,-0.17,0.48,17.2,14.4,2.8,0.24,0.84
ESP-La Liga,2324,Rayo Vallecano,Bebé,CPV,"MF,FW",33-203,1990,14,140,10,7.4,1.6,0,,0,14,10,5,1.29,2,2,0,0.0,0.41,3.6,3.2,0.3,0.21,0.37
ESP-La Liga,2324,Rayo Vallecano,Cárdenas,ESP,GK,26-309,1997,0,,,,,0,,0,0,,20,,,,,,,,,,,
ESP-La Liga,2324,Rayo Vallecano,Diego Méndez,ESP,MF,20-155,2003,1,5,5,0.3,0.1,0,,0,1,5,13,3.0,0,0,0,0.0,0.38,0.0,0.0,0.0,-0.82,-0.69
ESP-La Liga,2324,Rayo Vallecano,Florian Lejeune,FRA,DF,32-256,1991,21,1887,90,99.8,21.0,21,90,20,0,,0,1.14,18,26,-8,-0.38,-0.38,24.0,27.3,-3.3,-0.16,-18.16
ESP-La Liga,2324,Rayo Vallecano,Isaac Palazón Camacho,ESP,"MF,FW",29-035,1994,21,1602,76,84.8,17.8,20,79,7,1,25,0,1.14,16,17,-1,-0.06,2.13,20.7,22.5,-1.8,-0.1,0.18
ESP-La Liga,2324,Rayo Vallecano,Iván Balliu,ALB,DF,32-030,1992,18,1602,89,84.8,17.8,18,89,16,0,,2,1.28,17,22,-5,-0.28,0.66,22.8,20.3,2.5,0.14,1.77
ESP-La Liga,2324,Rayo Vallecano,Jorge Moreno,ESP,DF,22-283,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Rayo Vallecano,Jorge de Frutos,ESP,"MF,FW",26-345,1997,20,637,32,33.7,7.1,4,71,0,16,22,0,1.05,9,10,-1,-0.14,0.36,11.0,7.6,3.4,0.47,0.91
ESP-La Liga,2324,Rayo Vallecano,José Pozo,ESP,"MF,FW",27-322,1996,1,9,9,0.5,0.1,0,,0,1,9,17,1.0,0,0,0,0.0,0.38,0.0,0.0,0.0,0.0,0.13
ESP-La Liga,2324,Rayo Vallecano,Kike Pérez,ESP,"MF,FW",26-351,1997,16,569,36,30.1,6.3,6,57,0,10,23,3,1.06,5,7,-2,-0.32,0.09,8.6,7.5,1.1,0.18,0.44
ESP-La Liga,2324,Rayo Vallecano,Martín Pascual,ESP,DF,24-180,1999,0,,,,,0,,0,0,,16,,,,,,,,,,,
ESP-La Liga,2324,Rayo Vallecano,Morro,ESP,GK,23-142,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Rayo Vallecano,Pablo Muñoz,ESP,MF,20-149,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Rayo Vallecano,Pathé Ciss,SEN,MF,29-321,1994,18,1011,56,53.5,11.2,10,79,5,8,28,1,1.28,7,17,-10,-0.89,-1.09,9.4,13.4,-4.0,-0.36,-0.49
ESP-La Liga,2324,Rayo Vallecano,Pep Chavarría,ESP,"DF,MF",25-296,1998,8,346,43,18.3,3.8,3,90,3,5,15,12,1.11,1,5,-4,-1.04,-0.81,2.5,1.7,0.8,0.21,0.41
ESP-La Liga,2324,Rayo Vallecano,Radamel Falcao,COL,"FW,DF",37-355,1986,12,185,15,9.8,2.1,0,,0,12,15,7,0.92,2,2,0,0.0,0.42,3.5,2.5,1.0,0.48,0.68
ESP-La Liga,2324,Rayo Vallecano,Randy Ntekja,FRA,"FW,MF",26-056,1997,10,463,46,24.5,5.1,3,74,0,7,34,5,1.0,3,8,-5,-0.97,-0.78,5.9,7.8,-1.9,-0.37,-0.32
ESP-La Liga,2324,Rayo Vallecano,Raúl de Tomás,ESP,FW,29-106,1994,15,808,54,42.8,9.0,10,71,1,5,19,5,1.07,8,10,-2,-0.22,0.28,9.2,10.8,-1.6,-0.18,-0.09
ESP-La Liga,2324,Rayo Vallecano,Salvi,ESP,MF,32-307,1991,1,28,28,1.5,0.3,0,,0,1,28,0,3.0,0,0,0,0.0,0.39,0.1,0.2,-0.1,-0.3,-0.17
ESP-La Liga,2324,Rayo Vallecano,Sergio Camello,ESP,FW,22-355,2001,17,854,50,45.2,9.5,10,69,0,7,24,3,0.94,8,16,-8,-0.84,-0.84,11.6,13.1,-1.5,-0.15,-0.04
ESP-La Liga,2324,Rayo Vallecano,Stole Dimitrievski,MKD,GK,30-037,1993,21,1890,90,100.0,21.0,21,90,21,0,,0,1.14,18,26,-8,-0.38,,24.9,27.6,-2.7,-0.13,
ESP-La Liga,2324,Rayo Vallecano,Unai López,ESP,MF,28-093,1995,19,1177,62,62.3,13.1,16,69,3,3,26,2,1.21,13,17,-4,-0.31,0.2,16.3,19.1,-2.7,-0.21,-0.21
ESP-La Liga,2324,Rayo Vallecano,Álvaro García,ESP,"MF,FW",31-096,1992,18,1452,81,76.8,16.1,17,85,6,1,10,0,1.06,14,21,-7,-0.43,-0.23,19.8,22.5,-2.7,-0.17,-0.16
ESP-La Liga,2324,Rayo Vallecano,Óscar Trejo,ARG,"FW,MF",35-280,1988,17,805,47,42.6,8.9,11,61,0,6,23,0,1.24,9,10,-1,-0.11,0.47,11.3,13.1,-1.8,-0.2,-0.13
ESP-La Liga,2324,Rayo Vallecano,Óscar Valentín,ESP,MF,29-164,1994,19,1581,83,83.7,17.6,18,86,13,1,31,1,1.21,15,18,-3,-0.17,1.29,22.2,23.2,-1.0,-0.06,0.46
ESP-La Liga,2324,Real Madrid,Andriy Lunin,UKR,GK,24-354,1999,9,810,90,42.9,9.0,9,90,9,0,,12,2.78,23,5,18,2.0,0.92,15.4,8.1,7.3,0.81,-0.03
ESP-La Liga,2324,Real Madrid,Antonio Rüdiger,GER,DF,30-334,1993,20,1751,88,92.6,19.5,19,90,19,1,41,0,2.55,38,13,25,1.28,-2.6,34.9,18.4,16.6,0.85,0.4
ESP-La Liga,2324,Real Madrid,Arda Güler,TUR,FW,18-340,2005,1,10,10,0.5,0.1,0,,0,1,10,3,3.0,1,0,1,9.0,7.56,0.2,0.0,0.2,1.66,0.84
ESP-La Liga,2324,Real Madrid,Aurélien Tchouaméni,FRA,"MF,DF",24-004,2000,16,1079,67,57.1,12.0,12,82,8,4,23,0,2.69,25,6,19,1.58,0.25,21.4,11.0,10.4,0.86,0.1
ESP-La Liga,2324,Real Madrid,Álvaro Carrillo,ESP,DF,21-300,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2324,Real Madrid,Brahim Díaz,ESP,"MF,FW",24-181,1999,16,642,40,34.0,7.1,7,72,0,9,15,5,2.56,18,3,15,2.1,0.95,16.0,5.6,10.4,1.46,0.97
ESP-La Liga,2324,Real Madrid,Dani Carvajal,ESP,DF,32-020,1992,16,1356,85,71.7,15.1,16,85,11,0,,1,2.75,33,8,25,1.66,0.65,27.1,14.6,12.5,0.83,0.03
ESP-La Liga,2324,Real Madrid,Dani Ceballos,ESP,MF,27-177,1996,11,231,21,12.2,2.6,1,58,0,10,17,2,2.82,2,1,1,0.39,-1.24,5.1,2.0,3.1,1.21,0.44
ESP-La Liga,2324,Real Madrid,David Alaba,AUT,DF,31-221,1992,14,1154,82,61.1,12.8,14,82,12,0,,1,2.36,23,10,13,1.01,-1.19,21.0,12.9,8.1,0.63,-0.5
ESP-La Liga,2324,Real Madrid,Diego Piñeiro,ESP,GK,19-352,2004,0,,,,,0,,0,0,,9,,,,,,,,,,,
ESP-La Liga,2324,Real Madrid,Edgar Pujol,ESP,DF,19-177,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Real Madrid,Eduardo Camavinga,FRA,"MF,DF",21-082,2002,15,838,56,44.3,9.3,10,72,2,5,24,0,2.53,22,7,15,1.61,0.24,16.9,9.0,7.9,0.85,0.04
ESP-La Liga,2324,Real Madrid,Federico Valverde,URU,MF,25-193,1998,21,1665,79,88.1,18.5,19,85,12,2,22,0,2.57,41,10,31,1.68,1.68,31.6,17.9,13.8,0.74,-0.65
ESP-La Liga,2324,Real Madrid,Ferland Mendy,FRA,DF,28-237,1995,12,769,64,40.7,8.5,10,73,4,2,18,1,2.42,19,5,14,1.64,0.27,14.3,7.9,6.3,0.74,-0.13
ESP-La Liga,2324,Real Madrid,Fran Garcia,ESP,DF,24-170,1999,16,904,57,47.8,10.0,10,77,5,6,22,5,2.56,18,9,9,0.9,-1.11,16.9,9.7,7.3,0.72,-0.19
ESP-La Liga,2324,Real Madrid,Fran González,ESP,DF,25-171,1998,0,,,,,0,,0,0,,5,,,,,,,,,,,
ESP-La Liga,2324,Real Madrid,Fran González,ESP,GK,18-221,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,
ESP-La Liga,2324,Real Madrid,Gonzalo García,ESP,"FW,MF",19-313,2004,2,19,10,1.0,0.2,0,,0,2,10,4,3.0,0,0,0,0.0,-1.49,0.3,0.3,0.0,-0.13,-0.96
ESP-La Liga,2324,Real Madrid,Joselu,ESP,FW,33-310,1990,21,955,45,50.5,10.6,8,79,4,13,25,0,2.57,29,4,25,2.36,1.78,24.4,9.6,14.8,1.39,1.15
ESP-La Liga,2324,Real Madrid,Jude Bellingham,ENG,"MF,FW",20-216,2003,18,1548,86,81.9,17.2,18,86,13,0,,1,2.5,36,12,24,1.4,-0.45,29.4,16.5,12.9,0.75,-0.41
ESP-La Liga,2324,Real Madrid,Kepa Arrizabalaga,ESP,GK,29-120,1994,12,1080,90,57.1,12.0,12,90,12,0,,6,2.42,22,9,13,1.08,-0.92,22.0,12.0,10.0,0.83,0.03
ESP-La Liga,2324,Real Madrid,Lucas Cañizares,ESP,GK,21-266,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP-La Liga,2324,Real Madrid,Lucas Vázquez,ESP,DF,32-214,1991,15,488,33,25.8,5.4,4,80,2,11,15,6,2.67,12,6,6,1.11,-0.5,9.8,5.4,4.5,0.82,0.0
ESP-La Liga,2324,Real Madrid,Luka Modrić,CRO,MF,38-144,1985,16,806,50,42.6,9.0,9,71,1,7,24,4,2.44,20,7,13,1.45,-0.04,15.8,7.8,8.0,0.9,0.14
ESP-La Liga,2324,Real Madrid,Mario Martín,ESP,MF,19-332,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Real Madrid,Mario de Luis,ESP,GK,21-240,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Real Madrid,Nacho,ESP,DF,34-013,1990,14,724,52,38.3,8.0,7,78,4,7,25,4,2.5,21,5,16,1.99,0.83,15.4,8.8,6.6,0.82,-0.01
ESP-La Liga,2324,Real Madrid,Nicolás Paz,ARG,"MF,FW",19-145,2004,4,23,6,1.2,0.3,0,,0,4,6,8,2.5,1,1,0,0.0,-1.49,0.4,0.8,-0.4,-1.44,-2.29
ESP-La Liga,2324,Real Madrid,Rodrygo,BRA,FW,23-022,2001,21,1529,73,80.9,17.0,18,81,7,3,21,0,2.57,32,14,18,1.06,-2.18,27.7,16.2,11.5,0.68,-0.75
ESP-La Liga,2324,Real Madrid,Theo Zidane,FRA,MF,21-258,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Real Madrid,Toni Kroos,GER,MF,34-027,1990,21,1380,66,73.0,15.3,15,82,8,6,25,0,2.57,33,13,20,1.3,-0.64,26.6,16.8,9.8,0.64,-0.68
ESP-La Liga,2324,Real Madrid,Vinicius Júnior,BRA,FW,23-203,2000,13,942,72,49.8,10.5,12,76,2,1,34,0,2.69,23,6,17,1.62,0.3,17.6,9.9,7.6,0.73,-0.18
ESP-La Liga,2324,Real Madrid,Vinicius Tobias,BRA,DF,19-342,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Real Madrid,Álvaro Odriozola,ESP,DF,28-048,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Real Madrid,Éder Militão,BRA,DF,26-013,1998,1,49,49,2.6,0.5,1,49,0,0,,0,3.0,2,0,2,3.67,2.26,0.7,0.1,0.7,1.22,0.41
ESP-La Liga,2324,Real Sociedad,Aihen Muñoz,ESP,DF,26-168,1997,21,1127,54,56.9,12.5,11,85,10,10,19,0,1.67,22,14,8,0.64,0.32,18.9,15.5,3.4,0.27,0.35
ESP-La Liga,2324,Real Sociedad,Aitor Fraga,ESP,GK,20-328,2003,0,,,,,0,,0,0,,8,,,,,,,,,,,
ESP-La Liga,2324,Real Sociedad,Alberto Dadie,ESP,MF,21-195,2002,1,28,28,1.4,0.3,0,,0,1,28,0,0.0,1,0,1,3.21,2.75,0.9,0.1,0.8,2.73,2.64
ESP-La Liga,2324,Real Sociedad,Alex Sola,ESP,"DF,MF",24-236,1999,2,30,15,1.5,0.3,0,,0,2,15,1,1.0,0,1,-1,-3.0,-3.55,0.7,0.6,0.1,0.2,0.08
ESP-La Liga,2324,Real Sociedad,Ander Barrenetxea,ESP,"FW,MF",22-035,2001,16,888,56,44.8,9.9,13,62,0,3,27,1,1.5,18,13,5,0.51,0.01,11.8,12.3,-0.5,-0.05,-0.3
ESP-La Liga,2324,Real Sociedad,André Silva,POR,FW,28-086,1995,6,190,32,9.6,2.1,3,52,0,3,11,6,1.17,1,0,1,0.47,-0.03,2.1,1.5,0.5,0.25,0.15
ESP-La Liga,2324,Real Sociedad,Aritz Elustondo,ESP,DF,29-309,1994,9,492,55,24.8,5.5,4,82,3,5,33,6,2.11,8,4,4,0.73,0.31,6.2,6.7,-0.6,-0.1,-0.3
ESP-La Liga,2324,Real Sociedad,Arsen Zakharyan,RUS,"MF,FW",20-250,2003,15,518,35,26.2,5.8,6,57,0,9,19,1,1.6,7,6,1,0.17,-0.44,8.1,7.4,0.7,0.12,0.0
ESP-La Liga,2324,Real Sociedad,Beñat Turrientes,ESP,MF,22-000,2002,14,748,53,37.8,8.3,8,75,1,6,25,8,2.14,11,7,4,0.48,-0.03,9.4,7.2,2.2,0.26,0.23
ESP-La Liga,2324,Real Sociedad,Brais Méndez,ESP,"MF,FW",27-024,1997,20,1609,80,81.3,17.9,18,84,13,2,46,0,1.6,23,20,3,0.17,-1.77,20.2,20.2,0.0,0.0,-0.63
ESP-La Liga,2324,Real Sociedad,Bryan Fiabema,NOR,FW,20-349,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Real Sociedad,Carlos Fernández,ESP,FW,27-254,1996,10,408,41,20.6,4.5,5,63,1,5,19,6,1.55,7,4,3,0.66,0.2,3.4,5.9,-2.5,-0.55,-0.84
ESP-La Liga,2324,Real Sociedad,Diego Rico,ESP,DF,30-342,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2324,Real Sociedad,Gaizka Ayesa,ESP,GK,22-304,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Real Sociedad,Hamari Traoré,MLI,DF,32-004,1992,19,1474,78,74.4,16.4,17,84,12,2,27,0,1.68,30,17,13,0.79,1.15,23.2,18.5,4.7,0.29,0.65
ESP-La Liga,2324,Real Sociedad,Igor Zubeldia,ESP,DF,26-307,1997,21,1740,83,87.9,19.3,20,86,16,1,30,0,1.57,27,19,8,0.41,-0.71,23.5,21.0,2.5,0.13,0.09
ESP-La Liga,2324,Real Sociedad,Iñaki Rupérez,ESP,DF,21-024,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Real Sociedad,Javi Galán,ESP,DF,29-073,1994,1,90,90,4.5,1.0,1,90,1,0,,0,1.0,0,0,0,0.0,-0.52,0.2,0.1,0.1,0.08,-0.05
ESP-La Liga,2324,Real Sociedad,Jon Aramburu,VEN,DF,21-192,2002,2,135,68,6.8,1.5,2,68,1,0,,2,2.0,1,0,1,0.67,0.18,0.7,0.2,0.5,0.33,0.22
ESP-La Liga,2324,Real Sociedad,Jon Karrikaburu,ESP,FW,21-134,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Real Sociedad,Jon Magunacelaya,ESP,"FW,MF",23-202,2000,3,107,36,5.4,1.2,1,63,0,2,22,8,1.33,2,0,2,1.68,1.25,2.4,0.3,2.1,1.76,1.74
ESP-La Liga,2324,Real Sociedad,Jon Martin,ESP,DF,18-030,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Real Sociedad,Jon Pacheco,ESP,DF,23-023,2001,10,528,53,26.7,5.9,5,84,4,5,22,11,2.1,8,5,3,0.51,0.02,6.7,7.5,-0.8,-0.14,-0.35
ESP-La Liga,2324,Real Sociedad,Kieran Tierney,SCO,DF,26-240,1997,11,787,72,39.7,8.7,10,74,2,1,52,2,1.73,10,7,3,0.34,-0.26,7.9,9.4,-1.4,-0.16,-0.47
ESP-La Liga,2324,Real Sociedad,Martín Zubimendi,ESP,MF,24-363,1999,21,1788,85,90.3,19.9,19,90,19,2,39,0,1.57,29,19,10,0.5,0.03,25.3,22.8,2.5,0.13,0.09
ESP-La Liga,2324,Real Sociedad,Mikel Merino,ESP,MF,27-223,1996,18,1365,76,68.9,15.2,15,84,9,3,35,1,1.78,25,12,13,0.86,1.15,18.3,18.0,0.3,0.02,-0.32
ESP-La Liga,2324,Real Sociedad,Mikel Oyarzabal,ESP,FW,26-285,1997,21,1292,62,65.3,14.4,13,82,3,8,28,0,1.57,18,12,6,0.42,-0.24,16.8,14.2,2.6,0.18,0.17
ESP-La Liga,2324,Real Sociedad,Mohamed Ali Cho,FRA,"FW,MF",20-012,2004,11,249,23,12.6,2.8,1,90,1,10,16,6,1.73,5,7,-2,-0.72,-1.4,5.2,4.0,1.2,0.43,0.36
ESP-La Liga,2324,Real Sociedad,Olasagasti,ESP,MF,23-168,2000,7,122,17,6.2,1.4,1,64,0,6,10,14,1.43,4,1,3,2.21,1.83,4.2,0.9,3.3,2.43,2.46
ESP-La Liga,2324,Real Sociedad,Pablo Marín,ESP,MF,20-212,2003,0,,,,,0,,0,0,,7,,,,,,,,,,,
ESP-La Liga,2324,Real Sociedad,Roberto Navarro,ESP,MF,21-294,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2324,Real Sociedad,Robin Le Normand,ESP,DF,27-081,1996,19,1578,83,79.7,17.5,18,87,15,1,21,2,1.53,23,18,5,0.29,-1.06,20.8,18.0,2.8,0.16,0.19
